date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:00	77352/77352	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20May%202022%2022:39:23%20GMT	https://www.microsoft.com/utils/browser.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/utils/browser.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:00	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:24%20GMT	https://www.microsoft.com/videoplayer/js/spacer.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/spacer.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:01	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:24%20GMT	https://www.microsoft.com/videoplayer/js/text-track-menu-item.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/text-track-menu-item.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:01	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:24%20GMT	https://www.microsoft.com/videoplayer/js/text-track-button.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/text-track-button.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:01	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:25%20GMT	https://www.microsoft.com/videoplayer/js/caption-settings-menu-item.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/caption-settings-menu-item.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:02	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:25%20GMT	https://www.microsoft.com/videoplayer/js/text-track-button.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/text-track-button.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:02	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:25%20GMT	https://www.microsoft.com/videoplayer/js/text-track-menu-item.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/text-track-menu-item.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:02	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:26%20GMT	https://www.microsoft.com/videoplayer/js/chapters-track-menu-item.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/chapters-track-menu-item.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:02	77352/77352	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20May%202022%2022:39:26%20GMT	https://www.microsoft.com/utils/to-title-case.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/utils/to-title-case.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:02	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:26%20GMT	https://www.microsoft.com/videoplayer/js/text-track-button.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/text-track-button.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:03	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:26%20GMT	https://www.microsoft.com/videoplayer/js/text-track-menu-item.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/text-track-menu-item.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:03	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:26%20GMT	https://www.microsoft.com/videoplayer/js/text-track-button.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/text-track-button.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:03	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:27%20GMT	https://www.microsoft.com/videoplayer/js/text-track-menu-item.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/text-track-menu-item.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:04	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:27%20GMT	https://www.microsoft.com/videoplayer/js/off-text-track-menu-item.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/off-text-track-menu-item.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:04	77352/77352	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20May%202022%2022:39:27%20GMT	https://www.microsoft.com/videoplayer/menu/menu-button.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/menu/menu-button.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:04	77406/77406	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20May%202022%2022:39:27%20GMT	https://www.microsoft.com/videoplayer/utils/fn.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/utils/fn.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:04	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:28%20GMT	https://www.microsoft.com/videoplayer/js/volume-level.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/volume-level.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:05	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:28%20GMT	https://www.microsoft.com/videoplayer/js/volume-bar.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/volume-bar.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:05	77406/77406	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20May%202022%2022:39:28%20GMT	https://www.microsoft.com/videoplayer/popup/popup.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/popup/popup.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:05	77406/77406	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20May%202022%2022:39:29%20GMT	https://www.microsoft.com/videoplayer/popup/popup-button.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/popup/popup-button.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:05	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:29%20GMT	https://www.microsoft.com/videoplayer/js/mute-toggle.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/mute-toggle.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:06	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:29%20GMT	https://www.microsoft.com/videoplayer/js/volume-control/volume-bar.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/volume-control/volume-bar.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:06	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:29%20GMT	https://www.microsoft.com/videoplayer/js/utils/events.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/utils/events.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:06	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:29%20GMT	https://www.microsoft.com/videoplayer/js/utils/dom.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/utils/dom.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:06	77406/77406	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20May%202022%2022:39:30%20GMT	https://www.microsoft.com/videoplayer/tooltip-clickable.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/tooltip-clickable.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:07	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:30%20GMT	https://www.microsoft.com/videoplayer/js/menu.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/menu.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:07	77406/77406	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20May%202022%2022:39:30%20GMT	https://www.microsoft.com/videoplayer/utils/to-title-case.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/utils/to-title-case.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:07	77352/77352	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20May%202022%2022:39:31%20GMT	https://www.microsoft.com/videoplayer/utils/close-other-menu.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/utils/close-other-menu.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:07	77406/77406	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20May%202022%2022:39:31%20GMT	https://www.microsoft.com/videoplayer/utils/events.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/utils/events.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:08	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:31%20GMT	https://www.microsoft.com/videoplayer/js/component.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/component.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:08	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:31%20GMT	https://www.microsoft.com/videoplayer/js/utils/events.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/utils/events.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:08	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:32%20GMT	https://www.microsoft.com/videoplayer/js/utils/dom.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/utils/dom.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:08	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:32%20GMT	https://www.microsoft.com/videoplayer/js/utils/fn.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/utils/fn.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
18:38:08	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2019%20May%202022%2022:39:32%20GMT	https://www.microsoft.com/videoplayer/js/utils/guid.js	C:/My%20Web%20Sites/xbox/www.microsoft.com/videoplayer/js/utils/guid.js	(from http://amp.azure.net/libs/amp/2.3.9/azuremediaplayer.min.js)
